change_id,numeric_id,project,branch,owner_id,abandon_ts,reopen_ts,final_status
I6874b0d8acbf61183d20164495c8a285c07ccd63,58595,core,master,1000161,2018-11-04 03:55:15.000000000,,ABANDONED
I553bbec4ec3972013cf03394a40910ed5f03a126,122514,infra/mc-tooling,master,1003368,2024-01-03 07:57:38.000000000,,ABANDONED
I5d4b27fb904f3d28e7bb4d62d285c2e43d532e43,132155,core,master,1003547,2023-01-01 08:34:49.000000000,,ABANDONED
Ic200edb0544c1208221d6d2f43cdeb420cb63a38,137228,core,master,1000135,2023-01-18 09:16:57.000000000,,ABANDONED
I4f5ef9a46ba57ae6ab6da6b5e933fc02414135b1,138045,core,master,1000295,2023-01-28 03:24:05.000000000,,ABANDONED
If373ba756a0dd8a72373b7befd8d9ee6139f1480,138606,core,master,1000295,2023-01-29 03:22:44.000000000,,ABANDONED
Ia1b71d996ce6c89d9577cac487604516514a3615,140525,core,master,1000295,2023-01-08 03:22:31.000000000,,ABANDONED
I33a8b6a39d51d705ebf79fdb5627dddbe64f81d3,140941,core,master,1001002,2023-01-04 03:18:17.000000000,,ABANDONED
Ie86950f720ba8753b4ad6316a894dbca2636f398,141103,core,master,1000295,2023-01-29 03:22:45.000000000,,ABANDONED
Icc15e1a35648b74164571159276584b649453c33,141411,core,master,1002862,2023-01-29 03:22:53.000000000,,ABANDONED
Ibb7ae8e077e084d2129ae483537eb0e245892a17,142129,core,master,1000804,2023-01-20 14:49:05.000000000,,ABANDONED
I7bb02ac3dd66aa959f6e06245676c51e414b4799,142212,core,master,1002002,2023-01-26 03:22:23.000000000,,ABANDONED
I816aa52f7871578598b53da46b98de825da39b01,142494,core,master,1001582,2023-01-24 17:22:03.000000000,,ABANDONED
Iff4e428da3dc32f00262c9f439e47f6d608e50df,142499,core,master,1000996,2023-01-28 03:24:06.000000000,,ABANDONED
I2f77b09e80cfe3ca7c9ead3df9830509b5108d7c,142552,core,master,1001002,2023-01-28 03:24:06.000000000,,ABANDONED
Ie037d189f3d1774e93496f3f5c0150fe05ecad0c,142646,core,master,1000804,2023-01-18 20:55:54.000000000,,ABANDONED
Iad09eff6b8110d458f49ab0506da46cef133f826,143012,core,master,1003174,2023-01-28 03:24:08.000000000,,ABANDONED
I1969577c63e90f8038e99ca3e6eecb2ae751d6e7,143147,core,distro/collabora/co-22.05,1000664,2023-01-02 10:52:50.000000000,,ABANDONED
I4406b18fb61aee7e1843081d8a090083885e163d,143328,core,master,1003763,2023-01-25 08:05:03.000000000,,ABANDONED
I0cc038c46ba537841c8f1c8e81ddf2df76192849,143352,core,master,1003166,2023-01-29 03:22:54.000000000,,ABANDONED
I41ea23158bfd93e815a4d31a9e435143b8f0fd3a,143357,core,master,1001615,2023-01-07 19:53:53.000000000,,ABANDONED
I70c51c658c323882ccc67abf74967f4ac1904f0b,143482,core,master,1000179,2023-01-09 10:23:01.000000000,,ABANDONED
I889aee78786e4fda4a9acffb3c5996b0f03cf9cd,143663,core,master,1003606,2022-12-31 22:38:32.000000000,,ABANDONED
I5fe2a63670337d679cd50dad667a3f3770dad5a7,143666,core,master,1000083,2023-01-16 10:53:36.000000000,,ABANDONED
I502d42c1731c003ab1d47de417c48acfd98cd131,143850,core,master,1002512,2023-01-16 13:39:01.000000000,,ABANDONED
Ia4c2ee41bddacd701e4b67bb26165947f8ce2afa,144139,core,master,1000045,2023-01-04 13:56:55.000000000,,ABANDONED
I6733156ffea5afa6a04b9a1181d70ba875dc7bbc,144678,core,master,1000083,2023-01-17 11:52:08.000000000,,ABANDONED
I81422e745b35210d6fd6159e1d91299cac5c91c5,144765,core,master,1000045,2023-01-04 13:57:09.000000000,,ABANDONED
I1238df3d08f1407c3d33721d3a84a1c29ea5c7f8,144842,core,master,1000804,2023-01-18 19:53:59.000000000,,ABANDONED
I8b2cc0f441b0348e62991254bc5d757c7ec98d54,144843,core,master,1000804,2023-01-18 19:53:52.000000000,,ABANDONED
I7f2e6a1f326551ea479f26880b2437d38167e119,144844,core,master,1000804,2023-01-18 19:53:43.000000000,,ABANDONED
Ifd27ac01681a79bcc3c73efda477c1512680430d,144881,core,master,1000804,2023-01-18 20:05:41.000000000,,ABANDONED
Iaeede5463e4d526ed66633f6e9dd91e8a8d763df,144892,core,master,1000006,2023-01-01 16:16:37.000000000,,ABANDONED
I1fe749af8ae856af06bd7c36b0864e5ff29ce70d,144931,core,master,1000045,2023-01-04 13:57:35.000000000,,ABANDONED
I7467150d392d0382ba80bdc16afadbd41de5da17,144932,core,master,1000045,2023-01-04 13:58:03.000000000,,ABANDONED
Ic51bc0efe2e2f29eec078021900c8850218d4f9b,144933,core,master,1000045,2023-01-04 13:57:46.000000000,,ABANDONED
I9018e5d8745c1301367f2934d9fab910e4efe97c,144934,core,master,1000045,2023-01-04 13:57:25.000000000,,ABANDONED
I94c7e5bba808a920f022ba7942cfb0c4d78256a2,144935,core,master,1000045,2023-01-04 13:59:08.000000000,,ABANDONED
I09d2d3196e396290305fb51a94e35be4f44579a4,144936,core,master,1000045,2023-01-04 13:58:13.000000000,,ABANDONED
Ie6747376dfd9a9a1950286cc955cbdba9ff2e5ac,144937,core,master,1000045,2023-01-04 13:58:57.000000000,,ABANDONED
Ife7cae05e2de0c71530cf2f36f4c2e303d1cacb1,144938,core,master,1000045,2023-01-04 13:58:45.000000000,,ABANDONED
I449b55075cbf0e47d8e0eecad0858cec48a3ee66,144939,core,master,1000045,2023-01-04 13:58:33.000000000,,ABANDONED
I479f1ff0409772e034db92ba8e2df5e95798aca6,144940,core,master,1000045,2023-01-04 13:58:24.000000000,,ABANDONED
I6187b89e86652fe3a2d0ccb82c1c93922064c3d4,145122,core,master,1000321,2023-01-06 21:33:31.000000000,,ABANDONED
Id885c09410dc9aecc9570c8d3b7750e9d69e9c9c,145128,core,libreoffice-7-5,1001318,2023-01-16 08:06:57.000000000,,ABANDONED
I320212798f1a5c0bac39886b5ee582623641c814,145182,core,distro/collabora/co-22.05,1002266,2023-01-09 16:58:44.000000000,,ABANDONED
I9d93108c989418bab6d80c7f6afaccc1daaa746e,145198,core,libreoffice-7-5,1000179,2023-01-21 00:01:20.000000000,,ABANDONED
Id3de838d2e17fee85cb583b6c4e862b571d47142,145199,core,libreoffice-7-5,1000179,2023-01-21 00:02:30.000000000,,ABANDONED
Ie98bcef4bbb645159ea650295c0e8ebec31bec33,145284,core,master,1001615,2023-01-11 21:18:09.000000000,,ABANDONED
I4ac3b25349b8057812c45dc8148f8b3fc3b7ca1e,145319,core,distro/collabora/co-2021,1000947,2023-01-13 15:42:28.000000000,,ABANDONED
I3daad0754c3f581c63d8bcd09f177cc3b2f8b586,145364,core,master,1000043,2023-01-13 10:47:52.000000000,,ABANDONED
I1b05c7a91ebee28f1e52ae8800b916cb09e101e0,145365,core,master,1003571,2023-01-11 22:17:45.000000000,,ABANDONED
I5d449caa432399e836b8e59781e5cc53af718873,145437,core,libreoffice-7-5,1003771,2023-01-21 00:02:49.000000000,,ABANDONED
I03542ad3171814f6869bccab4dde77673eaa90f7,145447,core,libreoffice-7-4,1003558,2023-01-24 21:40:29.000000000,,ABANDONED
I03542ad3171814f6869bccab4dde77673eaa90f7,145448,core,libreoffice-7-5-0,1003558,2023-01-24 21:39:57.000000000,,ABANDONED
Ia942d72530691bf8cc66f2d8e5c7caf310597b28,145571,core,distro/collabora/co-22.05,1000664,2023-01-24 10:46:39.000000000,,ABANDONED
