change_id,numeric_id,project,branch,owner_id,created_ts,abandon_ts,reopen_ts,reopen_delay_days,same_owner_reopen,final_status,num_patchsets_before_abandon,reviewer_count_before_abandon,last_updated_ts
I8b7b362d87f7df622afdd6d57923266cfeb3ca51,76420,core,master,1000295,2019-07-26 15:33:11,2019-08-01 20:58:24,2022-06-25 01:03:00,1058.1699,True,ABANDONED,1,1,2023-01-28 03:24:08
Ic434c7408affdbcf64cea452603a524f192eb55b,76424,core,master,1000295,2019-07-26 15:33:11,2019-08-01 20:59:26,2022-06-25 01:48:35,1058.2008,True,ABANDONED,1,1,2023-01-28 03:24:09
Ie20b9d04978d99a0f730de095fa964ec42bbfe2c,76428,core,master,1000295,2019-07-26 15:33:11,2019-07-28 08:46:49,2022-07-01 07:13:57,1068.9355,True,ABANDONED,2,1,2023-01-28 03:24:10
I747c0a699c10c0ce7f0296dbb8966ef5f4a64bd0,76458,core,master,1000295,2019-07-26 20:09:55,2019-07-28 08:44:52,2022-07-20 11:26:29,1088.1122,True,ABANDONED,2,1,2023-01-28 03:24:11
I45da546c62a44d98027103bb400a32a26f96d0d1,76459,core,master,1000295,2019-07-26 20:09:55,2019-07-28 08:46:19,2022-07-20 11:28:09,1088.1124,True,ABANDONED,2,1,2023-01-28 03:24:11
I51fae5da48588bbbaeb64ad29cf4ca95ec802c77,112165,core,master,1002937,2021-03-08 13:20:56,2023-11-19 03:11:51,2023-11-23 13:46:11,4.4405,False,ABANDONED,2,3,2024-01-24 03:12:05
I5f1bda2a0b55d536bd43a5ebe192b48b20f3ff00,113427,core,master,1003128,2021-03-31 17:40:46,2023-11-19 03:11:51,2023-11-23 13:48:35,4.4422,False,ABANDONED,4,4,2024-01-24 03:12:05
I07141ab088b092b677036571a1ec9e10e4d1fcbf,114996,core,master,1000446,2021-05-02 12:11:16,2021-08-11 03:54:17,2021-08-19 06:13:39,8.0968,True,ABANDONED,1,1,2023-01-16 03:20:29
Ie23273274bc60ce6ac53a12ff92ad529bd0339a7,118649,dictionaries,master,1003308,2021-07-08 14:20:37,2022-04-29 03:42:11,2022-05-05 14:23:56,6.4457,False,MERGED,5,4,2024-01-07 18:05:03
I4368323729708da8b7bfc08ef7216bcaeaf88a52,120477,core,master,1002951,2021-08-14 02:00:36,2022-07-19 03:23:30,2022-07-19 05:03:19,0.0693,True,ABANDONED,42,6,2023-01-14 03:24:35
Ic37c2b6eb89b52b533e34dd117b9635b9608bab2,121548,core,master,1003025,2021-09-03 07:52:07,2022-11-16 03:45:19,2022-11-20 21:12:31,4.7272,False,MERGED,29,4,2023-01-02 07:36:05
Ic08fefadb7a2ff594dc2788dfc9cf9e0cc528a71,126649,core,master,1000804,2021-12-10 17:07:18,2022-03-04 04:19:25,2024-01-04 11:24:37,671.2953,False,MERGED,6,1,2024-01-05 10:13:58
